Epoch: 1, MSE: 0.00042025
Epoch: 2, MSE: 0.00013828
Epoch: 3, MSE: 0.00012916
Epoch: 4, MSE: 0.00011389
Epoch: 5, MSE: 0.00010201
Epoch: 6, MSE: 0.00009878
Epoch: 7, MSE: 0.00009644
Epoch: 8, MSE: 0.00008930
Epoch: 9, MSE: 0.00008620
Epoch: 10, MSE: 0.00008469
Epoch: 11, MSE: 0.00008384
Epoch: 12, MSE: 0.00008313
Epoch: 13, MSE: 0.00008016
Epoch: 14, MSE: 0.00007737
Epoch: 15, MSE: 0.00008402
Epoch: 16, MSE: 0.00008211
Epoch: 17, MSE: 0.00007616
Epoch: 18, MSE: 0.00007720
Epoch: 19, MSE: 0.00007207
slurmstepd: error: *** JOB 971867 ON gpu-13 CANCELLED AT 2019-04-30T15:03:12 DUE TO TIME LIMIT ***
