Epoch: 1, MSE: 0.00143894
Epoch: 2, MSE: 0.00016297
Epoch: 3, MSE: 0.00015161
Epoch: 4, MSE: 0.00014144
Epoch: 5, MSE: 0.00012895
Epoch: 6, MSE: 0.00011234
Epoch: 7, MSE: 0.00011658
Epoch: 8, MSE: 0.00011920
Epoch: 9, MSE: 0.00010905
Epoch: 10, MSE: 0.00010543
Epoch: 11, MSE: 0.00009811
Epoch: 12, MSE: 0.00009646
Epoch: 13, MSE: 0.00009436
Epoch: 14, MSE: 0.00009473
Epoch: 15, MSE: 0.00008878
Epoch: 16, MSE: 0.00009461
Epoch: 17, MSE: 0.00009375
Epoch: 18, MSE: 0.00008900
slurmstepd: error: *** JOB 901765 ON gpu-13 CANCELLED AT 2019-04-25T15:25:31 DUE TO TIME LIMIT ***
