filename,ppm
50294736_435828830291236_2030158088675541642_n,138.06571428571428
23279786_148197742578856_6378254909640278016_n,523.6728571428572
23416386_1840710242870758_1418351604486111232_n,523.6728571428572
23279242_754613681413241_2636689794633039872_n,523.6728571428572
23421744_157913204814458_5150676316399337472_n,205.3175
51198988_355397075054377_5019641374815263947_n,108.80428571428571
50099277_167553637558240_7730499617623994488_n,120.11
49913257_113330583089235_841595261123193185_n,150.92285714285714
49542433_1155606927950825_6038795111288348593_n,68.03142857142858
49991714_2043054882453850_8963023353683177368_n,264.87642857142856
49913278_130880537940142_1371110230384623804_n,160.88
49674426_165788511060098_1811899467230933893_n,327.11
50221243_764279940631653_8572492637524841816_n,286.66857142857145
33111051_588800588157670_106150318584102912_n,202.745
43334332_548179492308876_6076808572150598356_n,202.745
43641324_173561880216863_8887864598804783859_n,202.745
47585855_2258519227526743_8288301544979003830_n,171.51071428571427
47584888_1936677879960412_4711025511438657930_n,193.4092857142857
47691928_2377887122284056_1240473084924541961_n,387.645
47251926_2275121872725141_8876487587024403325_n,137.71928571428572
47690482_339623213294303_4586153246415710373_n,256.3907142857143
47690165_359358741520957_2102260448054724285_n,407.25
47691126_267151950645401_1879503487950769794_n,153.66857142857143
47413444_549122462270640_7977367395053665105_n,99.45000000000002
47253026_157163518610448_2136220676494070664_n,389.71214285714285
46998510_206521503586037_3878657321517107544_n,87.66857142857144
45373965_1982156752085106_8697580131113317824_n,119.98923076923077
46067493_371960743551181_4040623030405411941_n,276.75
47219622_261220294574793_6193328775400110353_n,240.14357142857145
45708790_321772681751115_7004312453055134850_n,181.05214285714285
45698105_191063875173214_7597612327574485006_n,221.81
46542205_331120294145315_6646353851608613007_n,139.52571428571432
44906203_267135374199093_3049072691250345204_n,113.51214285714286
44692925_1015089475345633_3667508683549415267_n,186.57928571428573
45604168_579703185812361_8474847827211209720_n,86.0
45291098_367028700769232_6570995133526321536_n,86.0
45864619_2571260236219233_1651767594823160717_n,96.34714285714287
46237873_1644723428966887_8610718026832248860_n,96.34714285714287
45672804_263638024324855_4355903510290598180_n,97.72214285714287
44567288_553959858376872_6646745416407431828_n,75.4976923076923
43762654_293768634808969_357600746360671069_n,75.4976923076923
44749870_289395471684984_1969673364094355914_n,75.4976923076923
45799024_2229742817292687_7601567458104262149_n,152.06071428571428
46765783_341917439690417_8036946620548086274_n,46.26
44721709_354355741965628_852767612808083597_n,171.25
44578945_332348047552559_434301568844274236_n,268.7442857142857
45499102_949377375234152_5892920870886450801_n,268.7442857142857
45713330_2137324436581217_5171019189478376678_n,231.0
45302574_2232377547007102_5778246524533335240_n,231.0
44891372_1802808323178592_5504896469852489077_n,220.2942857142857
46180383_310520322877437_1773328926714727526_n,124.57642857142858
44754654_256438404980983_359181568210400655_n,176.14214285714291
44257873_139455937033699_985599897458345893_n,114.5
44513591_335566260364440_5822092791977316647_n,100.71785714285716
43986233_276496536336203_8955739963676027449_n,124.64
43402927_2109659189064674_4846426586423608553_n,81.5
44588935_2047316035327277_3726588273484072418_n,81.5
43526340_2175725489361897_596371607208313822_n,81.5
43282617_731095453916431_7308861135932829604_n,81.5
44206580_722542481449610_6028351620046446094_n,81.5
44578111_485462388529037_7559391116533038415_n,81.5
44287452_341410486416591_3091998121549717534_n,88.54285714285713
43914094_1766413786819212_7859570088178882540_n,238.75
43444424_963297467199311_5144005007967403591_n,184.0
44482873_1045160698990150_1139088793499587462_n,184.50785714285718
44552911_193876311501300_2128892810533903703_n,221.91214285714287
43585510_2073711479345584_8100442842926678016_n,145.9
43280845_258767244993291_1580641732207610460_n,272.23214285714283
44249687_251119605534921_1640527695758890606_n,296.22
45474416_577392896051391_6883660280140544716_n,137.51
44790852_1916716858426996_2031029847251316447_n,290.75
43985365_260362461344978_8800846302287397932_n,290.0
44216172_159890864966892_4032407583815010852_n,388.1946153846154
44501585_277219392924795_4469393458545652962_n,187.81285714285718
43984815_1888703911227305_1679019398446941429_n,378.0961538461537
42003221_1945583115489503_210211225077050179_n,442.75
43322831_268184837230325_6336352887036620888_n,408.29538461538476
44000128_328143747984496_6743956110156849531_n,199.5
44282048_188306935423938_2629571569239719936_n,415.70384615384603
44208522_642833216113024_1746592106286518525_n,191.79615384615386
43985602_2185302401502024_508680637364402549_n,191.79615384615386
44000223_2046982918888458_3041380610209449879_n,191.79615384615386
43283381_545693075856199_2515067750141802267_n,191.79615384615386
42963925_2081839048795052_534496255141263914_n,199.0
44257866_491267194691208_213620874206613547_n,216.5057142857143
44178209_2067251033586354_5790526247660924823_n,216.5057142857143
44214579_534261147041815_8767354019852371083_n,216.5057142857143
43350077_1432713930198783_1419705140076847812_n,619.5571428571427
45285422_2432811786733642_596802555948876895_n,619.5571428571427
